Age,Years of Experience,Education Level,Job Title,Gender,Location,Company Type,Industry,Salary
35.0,5.2,M.Tech,Product Manager,Male,Nagpur,MNC,Product Tech,2271276
51.0,2.1,MCA,Director,Female,Bengaluru,Domestic,Banking,3776520
29.0,2.1,B.Tech,Data Analyst,Male,Pune,MNC,Analytics,977906
40.0,0.5,B.Tech,Manager,Female,Bengaluru,Domestic,Manufacturing,610181
47.0,2.8,B.Tech,Data Scientist,Male,Hyderabad,MNC,Healthcare Tech,1859476
26.0,5.3,B.Tech,Accounting,Male,Indore,Domestic,Banking,621356
38.0,1.6,MBA,Manager,Female,Mumbai,Startup,IT Services,903042
46.0,19.5,B.Tech,Manager,Male,Ahmedabad,Domestic,IT Services,3297642
31.0,3.6,B.Tech,Others,Female,Lucknow,Domestic,Services,447270
34.0,21.9,MCA,Manager,Male,Vadodara,Domestic,AI/ML,3851557
49.0,12.3,MBA,Data Analyst,Female,Chandigarh,Domestic,AI/ML,2338447
33.0,7.6,B.Tech,Software Engineer,Male,Pune,Service,Fintech,1854975
39.0,1.8,B.Tech,Others,Female,Delhi NCR,Domestic,Services,323428
45.0,1.1,MBA,Research,Male,Chennai,MNC,EdTech,628225
28.0,1.0,B.Sc,Others,Male,Kochi,Startup,Services,241234
42.0,25.6,MBA,Director,Female,Coimbatore,Startup,Manufacturing,7278030
37.0,27.9,B.Tech,Manager,Male,Delhi NCR,Domestic,IT Services,4433530
50.0,6.0,B.Tech,Manager,Female,Mysuru,Domestic,Banking,1355264
32.0,3.3,M.Tech,Software Engineer,Male,Chandigarh,Product,Fintech,1599331
48.0,0.4,M.Tech,HR,Female,Surat,Startup,Healthcare Tech,370561
30.0,1.4,B.Tech,Manager,Female,Chandigarh,MNC,Manufacturing,657300
36.0,0.6,B.Sc,Others,Male,Bengaluru,Domestic,AI/ML,329586
41.0,0.7,MCA,Data Analyst,Female,Pune,MNC,AI/ML,566690
25.0,6.6,B.Tech,Sales,Male,Delhi NCR,MNC,SaaS,1241407
52.0,0.8,M.Tech,Others,Male,Ahmedabad,Startup,AI/ML,354852
29.0,4.8,B.Tech,Designer,Female,Indore,Startup,Gaming,856165
34.0,0.4,M.Tech,Others,Female,Hyderabad,Domestic,AI/ML,360557
27.0,6.9,B.Sc,Manager,Male,Bengaluru,Domestic,Manufacturing,1517675
40.0,17.0,B.Tech,HR,Female,Bengaluru,MNC,Manufacturing,2428130
46.0,2.7,M.Tech,Manager,Male,Pune,MNC,Banking,1974279
31.0,0.1,B.Tech,Marketing Manager,Female,Jaipur,MNC,Consumer Goods,369129
36.0,3.1,M.Tech,Others,Male,Ahmedabad,Domestic,Manufacturing,532908
29.0,1.9,B.Tech,Sales,Female,Bengaluru,Startup,Real Estate,501406
43.0,6.8,B.Tech,Manager,Male,Pune,MNC,Consulting,2044477
52.0,5.1,MBA,Manager,Female,Hyderabad,Domestic,Consulting,1847010
33.0,27.5,B.Sc,Data Analyst,Male,Pune,MNC,Consulting,2935721
39.0,1.5,B.Tech,Others,Female,Bengaluru,Domestic,Manufacturing,330853
47.0,1.4,M.Tech,Research,Male,Delhi NCR,Domestic,EdTech,586995
26.0,1.9,B.Tech,Software Engineer,Male,Ahmedabad,Product,Fintech,742834
38.0,6.4,MCA,Manager,Female,Pune,Startup,Consulting,1957439
45.0,1.9,B.Tech,Data Analyst,Male,Pune,Domestic,Analytics,499884
31.0,1.4,B.Tech,Others,Female,Coimbatore,MNC,Services,285734
35.0,2.2,M.Tech,Product Manager,Male,Lucknow,Product,Fintech,2052868
49.0,2.2,M.Tech,Manager,Female,Bengaluru,MNC,Manufacturing,1804700
33.0,0.3,B.Tech,Software Engineer,Male,Ahmedabad,MNC,E-commerce,545803
39.0,6.8,MBA,Others,Female,Pune,Startup,Services,775509
44.0,4.4,B.Tech,Data Analyst,Male,Chandigarh,Domestic,Consulting,776231
30.0,27.4,B.Tech,Others,Female,Pune,Domestic,Manufacturing,1831962
36.0,17.5,B.Tech,Others,Male,Delhi NCR,Domestic,Services,1599200
41.0,6.1,M.Tech,Data Analyst,Female,Mumbai,Startup,AI/ML,1340282
28.0,29.1,B.Sc,Manager,Male,Pune,Domestic,Manufacturing,3883443
42.0,0.0,MBA,Designer,Female,Delhi NCR,MNC,Product Tech,599085
37.0,1.6,B.Sc,Software Engineer,Male,Bhubaneswar,MNC,Product Tech,595490
50.0,2.9,B.Sc,Data Analyst,Female,Bengaluru,Domestic,Analytics,843599
32.0,5.8,M.Tech,Data Analyst,Male,Chandigarh,MNC,IT Services,998537
23.0,3.3,B.Sc,Data Analyst,Female,Delhi NCR,Domestic,IT Services,763531
31.0,5.7,MBA,Data Analyst,Male,Mumbai,Startup,Consulting,1239776
40.0,0.5,B.Tech,Manager,Female,Chandigarh,Domestic,Manufacturing,491740
48.0,1.1,M.Tech,Software Engineer,Male,Jaipur,Product,E-commerce,656623
29.0,1.3,B.Tech,HR,Female,Bhubaneswar,Domestic,Consulting,328670
35.0,3.9,MBA,Product Manager,Male,Hyderabad,Startup,Product Tech,2753651
42.0,28.9,B.Tech,Manager,Female,Pune,Startup,AI/ML,5528899
53.0,12.1,M.Tech,Marketing Manager,Male,Pune,Domestic,Consumer Goods,2376479
33.0,3.4,B.Tech,Data Analyst,Female,Bengaluru,Startup,Banking,1055769
38.0,1.1,B.Sc,Manager,Male,Delhi NCR,Startup,AI/ML,804549
44.0,1.7,B.Tech,Others,Female,Pune,MNC,Services,358350
26.0,18.2,B.Sc,Accounting,Male,Chandigarh,MNC,Banking,1876995
37.0,1.8,M.Tech,HR,Female,Nagpur,Domestic,Consulting,382665
45.0,6.9,B.Tech,Manager,Male,Bengaluru,Domestic,Consulting,1857346
32.0,3.7,B.Tech,Marketing Manager,Female,Delhi NCR,Domestic,Consumer Goods,938015
34.0,1.0,MCA,Software Engineer,Male,Bengaluru,Product,Fintech,879876
50.0,9.2,MCA,Director,Female,Pune,Startup,Consulting,5333892
29.0,1.1,B.Tech,Designer,Male,Lucknow,Domestic,E-commerce,361029
40.0,27.8,MBA,Others,Female,Delhi NCR,MNC,Services,2395393
47.0,3.1,B.Tech,Research,Male,Nagpur,Startup,Healthcare Tech,914179
27.0,0.1,B.Tech,Sales,Male,Hyderabad,MNC,Real Estate,398894
39.0,1.7,B.Tech,Others,Female,Hyderabad,MNC,Manufacturing,379472
46.0,16.7,MBA,Manager,Male,Jaipur,Domestic,AI/ML,3887093
30.0,5.1,B.Tech,Manager,Female,Indore,Domestic,Manufacturing,1182706
36.0,0.3,B.Sc,Data Analyst,Male,Chennai,MNC,Analytics,430336
43.0,0.1,MBA,Product Manager,Female,Delhi NCR,Service,E-commerce,926449
28.0,0.4,B.Tech,Data Analyst,Male,Bengaluru,Domestic,AI/ML,475493
41.0,2.3,M.Tech,Manager,Female,Chandigarh,Domestic,IT Services,1281639
33.0,6.0,B.Tech,Software Engineer,Male,Bhubaneswar,MNC,E-commerce,1325559
47.0,1.0,B.Sc,Manager,Male,Ahmedabad,Startup,Banking,609717
25.0,4.6,MCA,Marketing Manager,Female,Chennai,MNC,EdTech,1132502
34.0,15.9,B.Sc,Data Analyst,Male,Nagpur,Domestic,AI/ML,1863335
42.0,22.2,M.Tech,Data Scientist,Female,Kochi,Product,Analytics,4928059
31.0,4.3,B.Tech,Manager,Male,Hyderabad,Startup,Consulting,1760033
38.0,3.9,B.Tech,Accounting,Female,Jaipur,Domestic,Banking,582562
45.0,5.8,MCA,Sales,Male,Pune,Domestic,AI/ML,1004866
29.0,1.0,B.Sc,Others,Female,Ahmedabad,Domestic,Manufacturing,230017
36.0,1.4,M.Tech,Manager,Male,Mumbai,MNC,Manufacturing,888872
43.0,1.1,B.Tech,Product Manager,Female,Kochi,Product,E-commerce,940259
26.0,6.1,B.Tech,Others,Male,Pune,Domestic,Manufacturing,619866
37.0,7.3,M.Tech,Data Analyst,Female,Mumbai,MNC,Banking,1656228
44.0,12.9,B.Sc,Others,Male,Chennai,MNC,Services,1442182
32.0,1.6,B.Sc,Data Analyst,Female,Indore,MNC,Analytics,431991
33.0,3.5,M.Tech,Manager,Male,Hyderabad,Domestic,Manufacturing,1523611
51.0,4.9,PhD,HR,Female,Delhi NCR,Domestic,Healthcare Tech,1017666
28.0,1.9,B.Tech,Software Engineer,Male,Hyderabad,MNC,E-commerce,813856
39.0,17.8,B.Tech,Sales,Female,Bhubaneswar,Domestic,SaaS,1903796
48.0,4.5,M.Tech,Product Manager,Male,Bengaluru,MNC,SaaS,3049483
30.0,2.4,B.Sc,Others,Female,Bhubaneswar,Domestic,AI/ML,471469
35.0,0.7,B.Tech,Marketing Manager,Male,Nagpur,MNC,Media,380989
41.0,0.9,M.Tech,Manager,Female,Coimbatore,MNC,Banking,739817
27.0,4.9,B.Tech,Others,Male,Mumbai,MNC,Services,719283
40.0,1.1,B.Sc,Manager,Female,Mumbai,Startup,Banking,769222
46.0,4.8,M.Tech,Research,Male,Hyderabad,MNC,Healthcare Tech,1499174
31.0,6.0,B.Tech,HR,Female,Hyderabad,MNC,Consulting,1027912
34.0,4.6,M.Tech,Software Engineer,Male,Indore,Product,Product Tech,1623896
50.0,2.2,MCA,Finance,Female,Hyderabad,MNC,Banking,1319205
29.0,3.6,B.Tech,Marketing Manager,Male,Coimbatore,MNC,E-commerce,997583
43.0,1.7,B.Tech,Manager,Male,Pune,Domestic,IT Services,682616
26.0,1.5,MBA,Data Scientist,Female,Delhi NCR,Service,AI/ML,1026250
35.0,4.0,B.Tech,Data Analyst,Male,Ahmedabad,Domestic,IT Services,699101
42.0,8.1,M.Tech,Manager,Female,Mumbai,Domestic,Manufacturing,2163051
31.0,0.6,B.Tech,Accounting,Male,Mumbai,MNC,Consulting,421811
38.0,5.5,B.Tech,HR,Female,Coimbatore,MNC,Manufacturing,745001
46.0,20.2,MBA,Director,Male,Bengaluru,MNC,IT Services,9000000
29.0,1.3,B.Tech,Sales,Female,Bhubaneswar,Domestic,AI/ML,370422
37.0,0.9,M.Tech,Data Analyst,Male,Lucknow,Domestic,Banking,385128
44.0,5.9,M.Tech,Designer,Female,Chennai,MNC,E-commerce,1290339
27.0,2.2,B.Tech,Product Manager,Male,Delhi NCR,Startup,SaaS,2288177
36.0,6.5,B.Tech,Marketing Manager,Female,Jaipur,Domestic,E-commerce,934293
43.0,0.3,B.Tech,Manager,Male,Pune,Startup,AI/ML,746930
33.0,2.3,MCA,Data Analyst,Female,Pune,Startup,Consulting,944644
34.0,1.3,B.Sc,Data Analyst,Male,Jaipur,Domestic,IT Services,311609
50.0,1.1,B.Tech,Marketing Manager,Female,Hyderabad,Domestic,Media,450699
28.0,24.0,B.Tech,Data Analyst,Male,Chennai,Domestic,AI/ML,2754149
39.0,5.7,B.Tech,Accounting,Female,Pune,MNC,Consulting,857732
47.0,2.0,MBA,Director,Male,Delhi NCR,Domestic,Consulting,2551997
30.0,5.1,B.Tech,Manager,Female,Pune,MNC,IT Services,1763552
34.0,1.7,B.Tech,Product Manager,Male,Pune,Startup,Product Tech,1212952
40.0,3.6,MCA,HR,Female,Bengaluru,Domestic,IT Services,810719
28.0,27.0,B.Tech,Data Analyst,Male,Jaipur,Domestic,Analytics,2323525
41.0,3.8,B.Tech,Marketing Manager,Female,Indore,Domestic,Media,733675
45.0,4.5,M.Tech,Data Analyst,Male,Jaipur,MNC,IT Services,880243
32.0,6.0,B.Sc,Manager,Female,Vadodara,Domestic,IT Services,1111926
35.0,0.7,MCA,Software Engineer,Male,Bengaluru,Service,SaaS,670992
49.0,2.3,M.Tech,Director,Female,Bhubaneswar,Domestic,Manufacturing,2500589
30.0,6.6,B.Tech,Others,Male,Bengaluru,Domestic,AI/ML,818094
44.0,3.6,B.Tech,Manager,Male,Mumbai,Domestic,AI/ML,1725792
27.0,0.5,M.Tech,Designer,Female,Chandigarh,MNC,E-commerce,480827
36.0,6.9,B.Tech,Accounting,Male,Chandigarh,MNC,AI/ML,848153
41.0,4.5,B.Tech,Marketing Manager,Female,Chandigarh,Startup,EdTech,924739
31.0,1.6,B.Sc,HR,Male,Coimbatore,MNC,IT Services,358404
39.0,6.1,B.Tech,Manager,Female,Delhi NCR,Domestic,AI/ML,1886729
47.0,4.7,MCA,Finance,Male,Coimbatore,MNC,Fintech,1263452
30.0,0.1,B.Tech,Marketing Manager,Female,Mysuru,MNC,E-commerce,427197
38.0,3.5,M.Tech,Others,Male,Pune,Startup,Services,674821
45.0,0.8,M.Tech,Product Manager,Female,Mumbai,Service,Fintech,1076424
28.0,1.7,B.Tech,Others,Male,Chandigarh,Domestic,Services,266421
35.0,1.7,B.Sc,Data Analyst,Female,Delhi NCR,Domestic,Analytics,469675
44.0,2.0,B.Tech,Software Engineer,Male,Mumbai,MNC,Product Tech,931659
34.0,0.0,M.Tech,Others,Female,Ahmedabad,Domestic,Manufacturing,240205
35.0,2.4,B.Tech,Others,Male,Coimbatore,Startup,Services,487237
50.0,17.2,MBA,Director,Female,Hyderabad,Domestic,Banking,8336552
29.0,2.6,B.Tech,Data Analyst,Male,Hyderabad,MNC,Consulting,989754
40.0,1.9,B.Tech,Sales,Female,Pune,Domestic,Real Estate,420540
48.0,9.5,M.Tech,Marketing Manager,Male,Ahmedabad,Domestic,Media,1359699
31.0,3.7,B.Sc,Others,Female,Kochi,Startup,Manufacturing,497614
33.0,0.5,B.Tech,Product Manager,Male,Delhi NCR,MNC,Fintech,1136460
42.0,0.4,MCA,Manager,Female,Coimbatore,Domestic,Consulting,528388
28.0,1.3,B.Tech,Data Analyst,Male,Mumbai,MNC,IT Services,528767
40.0,1.9,B.Tech,Manager,Female,Hyderabad,MNC,AI/ML,1002061
46.0,5.1,PhD,Data Scientist,Male,Chennai,Startup,Analytics,2065910
33.0,27.9,B.Sc,Manager,Female,Jaipur,MNC,Consulting,4022800
37.0,5.2,MCA,Software Engineer,Male,Ahmedabad,Product,Product Tech,1622251
51.0,23.0,MCA,HR,Female,Mysuru,Domestic,Consulting,2031091
30.0,5.3,B.Sc,Marketing Manager,Male,Bengaluru,MNC,EdTech,1143337
43.0,1.9,B.Sc,Manager,Male,Jaipur,MNC,Banking,682453
27.0,2.4,M.Tech,Research,Female,Ahmedabad,MNC,Healthcare Tech,1150369
35.0,1.8,B.Tech,Data Analyst,Male,Delhi NCR,Domestic,AI/ML,552500
42.0,9.7,PhD,Manager,Female,Pune,MNC,Consulting,2948246
32.0,0.5,B.Tech,Sales,Male,Bengaluru,Domestic,Consumer Goods,375673
37.0,1.3,B.Tech,Data Analyst,Female,Kochi,Domestic,Consulting,377945
45.0,0.0,M.Tech,Software Engineer,Male,Mumbai,Product,SaaS,791869
33.0,6.7,B.Tech,Data Analyst,Female,Hyderabad,Domestic,Banking,1018998
39.0,1.5,B.Sc,Marketing Manager,Male,Delhi NCR,Startup,Consumer Goods,508846
44.0,22.9,MBA,Manager,Female,Mumbai,Domestic,IT Services,4788184
29.0,29.1,B.Tech,Data Analyst,Male,Delhi NCR,Startup,Analytics,3296093
38.0,1.3,B.Sc,Product Manager,Female,Jaipur,MNC,E-commerce,827968
46.0,25.5,M.Tech,Data Analyst,Male,Hyderabad,MNC,Consulting,3467871
34.0,3.2,B.Tech,Data Analyst,Female,Nagpur,Domestic,Analytics,678789
36.0,20.0,B.Tech,Manager,Male,Chennai,Domestic,IT Services,3771407
49.0,0.6,MCA,Marketing Manager,Female,Chandigarh,Domestic,Media,372195
31.0,4.7,B.Sc,Data Analyst,Male,Hyderabad,Domestic,Analytics,863108
41.0,4.4,B.Tech,Others,Female,Nagpur,Domestic,AI/ML,557911
47.0,3.0,MBA,Director,Male,Mumbai,Domestic,Consulting,4015042
30.0,3.8,B.Tech,Marketing Manager,Female,Chennai,Startup,Consumer Goods,960314
38.0,2.2,M.Tech,Others,Male,Bengaluru,Domestic,Manufacturing,632465
45.0,3.2,M.Tech,Product Manager,Female,Kochi,Service,Product Tech,1851220
28.0,3.5,B.Sc,Others,Male,Lucknow,MNC,AI/ML,585451
35.0,2.5,B.Tech,Data Analyst,Female,Bhubaneswar,Domestic,IT Services,609230
44.0,1.1,B.Tech,Software Engineer,Male,Hyderabad,Service,IT Services,542678
34.0,3.0,MBA,Others,Female,Chennai,Domestic,AI/ML,721461
35.0,1.5,B.Tech,Others,Male,Chennai,Domestic,Manufacturing,298116
50.0,1.7,M.Tech,Director,Female,Bengaluru,Domestic,Banking,2570689
29.0,1.8,B.Tech,Data Analyst,Male,Bhubaneswar,Startup,IT Services,393170
37.0,5.7,B.Tech,Manager,Female,Hyderabad,MNC,Manufacturing,1781942
46.0,3.8,M.Tech,Data Scientist,Male,Jaipur,Service,AI/ML,1456104
31.0,2.4,B.Sc,Marketing Manager,Female,Pune,Startup,E-commerce,996994
42.0,5.0,B.Tech,Manager,Male,Bengaluru,Domestic,IT Services,1591781
29.0,14.7,B.Sc,Sales,Female,Delhi NCR,Startup,AI/ML,2349905
36.0,3.6,B.Tech,Marketing Manager,Male,Mumbai,Domestic,Consumer Goods,930767
44.0,22.8,M.Tech,HR,Female,Hyderabad,Domestic,Healthcare Tech,2796326
33.0,4.6,B.Tech,Manager,Male,Lucknow,Domestic,Manufacturing,1118866
39.0,1.8,B.Tech,Marketing Manager,Female,Chandigarh,Domestic,EdTech,438047
45.0,0.8,B.Tech,Software Engineer,Male,Mumbai,Startup,Fintech,734401
32.0,5.0,B.Tech,Manager,Female,Pune,Domestic,Banking,1642915
37.0,5.7,B.Tech,Data Analyst,Male,Surat,MNC,Analytics,907805
47.0,3.2,MCA,Marketing Manager,Female,Mysuru,MNC,EdTech,876463
30.0,4.6,B.Tech,Data Analyst,Male,Bengaluru,MNC,Banking,1175794
38.0,7.0,B.Tech,Manager,Female,Kochi,Startup,Consulting,1599377
46.0,3.3,M.Tech,Data Analyst,Male,Chennai,Domestic,Analytics,938675
34.0,16.6,B.Tech,Data Analyst,Female,Chennai,Startup,Analytics,2555952
36.0,2.9,B.Tech,Product Manager,Male,Mumbai,Product,E-commerce,2458784
49.0,4.4,MBA,Director,Female,Nagpur,MNC,Consulting,3654584
31.0,1.3,B.Tech,Data Analyst,Male,Pune,Domestic,IT Services,422316
41.0,12.8,B.Sc,Others,Female,Bengaluru,Startup,AI/ML,1848758
47.0,0.5,M.Tech,Marketing Manager,Male,Pune,Startup,Consumer Goods,507022
29.0,13.4,B.Sc,Others,Female,Pune,MNC,Manufacturing,1557838
35.0,3.9,B.Tech,Manager,Male,Ahmedabad,MNC,AI/ML,1676025
44.0,1.8,M.Tech,Product Manager,Female,Jaipur,Product,E-commerce,1091728
33.0,3.3,B.Tech,Data Analyst,Male,Jaipur,Domestic,AI/ML,743726
35.0,4.0,B.Tech,Data Analyst,Female,Delhi NCR,Domestic,Banking,955018
44.0,26.8,B.Tech,Software Engineer,Male,Chennai,Service,IT Services,3538725
32.0,1.2,B.Tech,Product Manager,Male,Hyderabad,Product,SaaS,1257673
38.0,6.2,B.Sc,Data Analyst,Female,Mysuru,MNC,Banking,852275
49.0,14.1,PhD,Director,Male,Pune,Domestic,Banking,8049514
29.0,3.2,B.Tech,Marketing Manager,Female,Mumbai,Startup,Consumer Goods,1031694
35.0,4.2,B.Tech,Manager,Male,Chennai,Domestic,Banking,1548504
45.0,25.3,MCA,Manager,Female,Coimbatore,Domestic,Banking,4080088
33.0,3.9,B.Sc,Data Analyst,Male,Delhi NCR,Startup,AI/ML,1006586
40.0,6.3,B.Tech,Manager,Female,Hyderabad,MNC,AI/ML,2200089
44.0,0.3,B.Tech,Data Scientist,Male,Bengaluru,MNC,Analytics,908818
30.0,1.1,B.Tech,Others,Female,Bengaluru,Domestic,Manufacturing,314560
37.0,3.8,B.Tech,Data Analyst,Male,Pune,MNC,IT Services,959078
48.0,1.9,MCA,HR,Female,Indore,Startup,Manufacturing,384597
31.0,0.3,B.Sc,Manager,Male,Chennai,Domestic,IT Services,502414
38.0,1.6,B.Sc,Others,Female,Bhubaneswar,MNC,AI/ML,322146
45.0,0.1,B.Tech,Software Engineer,Male,Bengaluru,Service,Fintech,588380
33.0,0.4,B.Tech,Manager,Female,Hyderabad,Startup,Consulting,707820
36.0,2.0,B.Tech,Data Analyst,Male,Vadodara,Domestic,Consulting,386546
49.0,2.0,MCA,Marketing Manager,Female,Mumbai,Startup,EdTech,637494
31.0,17.7,B.Sc,Data Analyst,Male,Chandigarh,MNC,Banking,2329793
42.0,0.6,B.Tech,Manager,Female,Bengaluru,MNC,AI/ML,896481
47.0,3.0,MCA,Marketing Manager,Male,Jaipur,Domestic,Consumer Goods,729309
29.0,0.1,B.Tech,Others,Female,Mumbai,Startup,AI/ML,364012
35.0,1.2,B.Tech,Manager,Male,Lucknow,Domestic,Manufacturing,485591
44.0,1.1,M.Tech,Product Manager,Female,Hyderabad,MNC,Fintech,1325887
33.0,4.0,B.Sc,Data Analyst,Male,Delhi NCR,Domestic,Consulting,829891
35.0,5.9,B.Tech,Data Analyst,Female,Delhi NCR,MNC,Consulting,1166897
44.0,1.0,B.Tech,Software Engineer,Male,Mumbai,Startup,Product Tech,772089
34.0,5.7,MCA,Others,Female,Hyderabad,Domestic,Services,634853
36.0,6.4,B.Tech,Marketing Manager,Male,Chandigarh,Domestic,Consumer Goods,855887
30.0,0.5,B.Tech,HR,Female,Bengaluru,Domestic,IT Services,372102
37.0,4.9,B.Tech,Manager,Male,Mysuru,MNC,Consulting,1499111
45.0,6.9,MBA,Manager,Female,Delhi NCR,Domestic,AI/ML,2194171
32.0,21.5,B.Tech,Others,Male,Bengaluru,Startup,Services,1946324
39.0,1.5,B.Tech,Manager,Female,Ahmedabad,MNC,Consulting,728357
47.0,3.2,M.Tech,Software Engineer,Male,Hyderabad,Service,E-commerce,1404662
29.0,0.6,B.Sc,Data Analyst,Female,Delhi NCR,Startup,Analytics,457651
36.0,0.5,B.Tech,Manager,Male,Nagpur,Domestic,Banking,500032
43.0,0.1,PhD,Data Scientist,Female,Chennai,Product,Analytics,941910
32.0,0.3,B.Tech,Marketing Manager,Male,Vadodara,Domestic,E-commerce,366645
38.0,5.8,B.Tech,Data Analyst,Female,Chandigarh,MNC,Analytics,979710
48.0,1.0,M.Tech,Marketing Manager,Male,Mumbai,Domestic,EdTech,536244
31.0,21.8,B.Sc,Others,Female,Mumbai,Domestic,AI/ML,1944205
40.0,29.0,B.Sc,Data Analyst,Male,Hyderabad,MNC,Analytics,3117878
45.0,2.9,B.Tech,Designer,Female,Delhi NCR,Startup,Product Tech,1148111
33.0,17.7,B.Tech,Product Manager,Male,Chandigarh,Product,Fintech,5539545
36.0,2.2,B.Tech,Manager,Female,Mumbai,Domestic,Banking,1552451
47.0,18.7,M.Tech,Director,Male,Pune,Domestic,Consulting,7927867
29.0,24.4,B.Tech,Manager,Female,Pune,MNC,Manufacturing,4638042
34.0,4.4,B.Sc,Others,Male,Delhi NCR,MNC,Manufacturing,660017
